grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2023/8,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2023/DMD/01 Human resources and Light technical equipment,4151487,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/10,DMD,Romania,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2023/DMD/01 Human resources and Light technical equipment,136768,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/31,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2023/DMD/01 Human resources and Light technical equipment,943172,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/56,DMD,Hungary,Hungarian National Police,"4-6. Teve utca, Budapest 1139, Hungary",2023/DMD/01 Human resources and Light technical equipment,3934717,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/59,DMD,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2023/DMD/01 Human resources and Light technical equipment,2098917,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/60,DMD,Switzerland,Customs/Border Guard,"Taubenstrasse 16, CH-3003 Bern, Switzerland",2023/DMD/01 Human resources and Light technical equipment,944224,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/67,DMD,Hungary,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2023/DMD/01 Human resources and Light technical equipment,86628,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/81,DMD,Bulgaria,Bulgarian Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2023/DMD/01 Human resources and Light technical equipment,503537,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/82,DMD,Spain,Cuerpo Nacional de Policia,"C/ General Pardiñas 90 bis, 28006, Madrid",2023/DMD/01 Human resources and Light technical equipment,191524,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/87,DMD,Iceland,Office of the National Commissioner of the Icelandic Police,"Skúlagata 21, IS-101 Reykjavik, Iceland",2023/DMD/01 Human resources and Light technical equipment,44236,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/90,DMD,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic",2023/DMD/01 Human resources and Light technical equipment,1999687,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/91,DMD,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2023/DMD/01 Human resources and Light technical equipment,2137798,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/92,DMD,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/DMD/01 Human resources and Light technical equipment,915537,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/93,DMD,Netherlands,Royal Marechaussee,"P.O. Box 90615
2509 LP The Hague",2023/DMD/01 Human resources and Light technical equipment,1871505,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/94,DMD,Slovakia,Police Force,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2023/DMD/01 Human resources and Light technical equipment,1226492,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/95,DMD,Netherlands,Immigration and Naturalisation Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 16275, 2500 BG The Hague, The Netherlands",2023/DMD/01 Human resources and Light technical equipment,222732,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/97,DMD,Cyprus,Cyprus Police,"Sotiri Tsagari 9, 1478 Nicosia, Cyprus",2023/DMD/01 Human resources and Light technical equipment,84726,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/103,DMD,Norway,National Police Directorate,"P.O.Box. 2090 Vika, 0125 OSLO, Norway",2023/DMD/01 Human resources and Light technical equipment,512304,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/104,DMD,Austria,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2023/DMD/01 Human resources and Light technical equipment,3363108,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/105,DMD,Belgium,Federal Police,Koningsstraat 202A - 1000 Brussels,2023/DMD/01 Human resources and Light technical equipment,648837,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/106,DMD,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD, The Hague, The Netherlands",2023/DMD/01 Human resources and Light technical equipment,266846,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/107,DMD,Croatia,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2023/DMD/01 Human resources and Light technical equipment,1381959,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/108,DMD,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/DMD/01 Human resources and Light technical equipment,3803581,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/109,DMD,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2023/DMD/01 Human resources and Light technical equipment,124216,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/110,DMD,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/DMD/01 Human resources and Light technical equipment,429820,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/111,DMD,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2023/DMD/01 Human resources and Light technical equipment,9890778,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/113,DMD,Netherlands,"Transport and Support Service, Ministry for Security and Justice",Turfmarkt 147 | 2511 DP | Den Haag,2023/DMD/01 Human resources and Light technical equipment,519802,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/114,DMD,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2023/DMD/01 Human resources and Light technical equipment,1403111,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/115,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/DMD/01 Human resources and Light technical equipment,324786,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/116,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/DMD/01 Human resources and Light technical equipment,365148,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/117,DMD,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2023/DMD/01 Human resources and Light technical equipment,545808,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/120,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/DMD/01 Human resources and Light technical equipment,1958482,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/122,DMD,Slovenia,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2023/DMD/01 Human resources and Light technical equipment,1160886,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/123,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/DMD/01 Human resources and Light technical equipment,1996211,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/124,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/DMD/01 Human resources and Light technical equipment,151314,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/127,DMD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/DMD/01 Human resources and Light technical equipment,761378,2023,Technical Equipment & Human Resources,Deployment Management Division
