grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2022/175,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,321469,2022,Technical Equipment,Field Operations Unit
2022/179,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,841079,2022,Technical Equipment,Field Operations Unit
2022/204,ECRET,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/ECRET/01,4241181,2022,European Centre for Returns,European Centre for Returns
2022/212,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",31656.98,2022,Human Resources,Deployment Management Division
2022/214,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,174739,2022,Technical Equipment,Field Operations Unit
2022/215,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,210290,2022,Technical Equipment,Field Operations Unit
2022/263,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",2881418.32,2022,Human Resources,Deployment Management Division
2022/264,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",1994389.74,2022,Human Resources,Deployment Management Division
2022/279,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,326518,2022,Technical Equipment,Field Operations Unit
2022/280,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,262108,2022,Technical Equipment,Field Operations Unit
2022/281,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,649930,2022,Technical Equipment,Field Operations Unit
2022/282,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,647195,2022,Technical Equipment,Field Operations Unit
2022/294,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,894912,2022,Technical Equipment,Field Operations Unit
2022/317,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,865958,2022,Technical Equipment,Field Operations Unit
2022/336,ECRET,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/ECRET/01,3364127,2022,European Centre for Returns,European Centre for Returns
2022/345,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,2353190,2022,Technical Equipment,Field Operations Unit
2022/358,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,494962,2022,Technical Equipment,Field Operations Unit
2022/359,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,494351,2022,Technical Equipment,Field Operations Unit
2022/360,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,1289760,2022,Technical Equipment,Field Operations Unit
2022/369,TRU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",The engagement of technical equipment in Frontex EFS Exercise.,238360,2022,Technical Equipment,Training Unit
2022/376,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,1284677,2022,Technical Equipment,Field Operations Unit
2022/382,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,130991,2022,Technical Equipment,Field Operations Unit
2022/390,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,93170,2022,Technical Equipment,Field Operations Unit
2022/398,CGS,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/CGS/01/Heavy Technical Equipment,32588,2022,Technical Equipment,Coast Guard Sector
2022/408,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,547305,2022,Technical Equipment,Field Operations Unit
2022/410,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,205811,2022,Technical Equipment,Field Operations Unit
2022/418,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,405750,2022,Technical Equipment,Field Operations Unit
2021/26,ECRET,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/ECRet/01,2685985,2021,European Centre for Returns,European Centre for Returns
2021/42,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01 Human Resources and light technical equipment,978352,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/44,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01 Human Resources and light technical equipment,1604302,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/66,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01 Human Resources and light technical equipment,652296,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/74,FSC,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FSC/01 Human resources and Light technical equipment,370279,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/83,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01 Human Resources and light technical equipment,1215863,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/88,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01/Heavy Technical Equipment,383104,2021,Technical Equipment,Field Deployment Unit
2021/103,FSC,Italy,Italian Ministry of Interior,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FSC/01 Human resources and Light technical equipment,200286,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/105,FSC,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FSC/01 Human resources and Light technical equipment,185459,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/114,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01 Human Resources and light  technical equipment,136058,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/115,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01 Human Resources and light technical equipment,153729,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/117,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01/Heavy Technical Equipment,255130,2021,Technical Equipment,Field Deployment Unit
2021/118,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01/Heavy Technical Equipment,736654,2021,Technical Equipment,Field Deployment Unit
2021/131,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01/Heavy Technical Equipment,279882,2021,Technical Equipment,Field Deployment Unit
2021/132,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01/Heavy Technical  Equipment,995247,2021,Technical Equipment,Field Deployment Unit
2021/147,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01/Heavy Technical Equipment,781602,2021,Technical Equipment,Field Deployment Unit
2021/149,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01/Heavy Technical Equipment,119107,2021,Technical Equipment,Field Deployment Unit
2021/153,TF Deploy,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",92600.07,2021,Human Resources,Task Force Deployment Management
2021/183,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01 Human Resources and light technical equipment,66198,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/189,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01/Heavy Technical Equipment,645708,2021,Technical Equipment,Field Deployment Unit
2021/195,ECRET,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/ECRet/01,2311246,2021,European Centre for Returns,European Centre for Returns
2021/197,TRU,Italy,Guardia di Finanza,"Via Tuscolana 1548, 00173 Roma, Italy",Basic training in relation to category 1 of the standing corps,281354.66,2021,Trainings standing corps,Training Unit
2021/204,CGS,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01/Heavy Technical Equipment,426961,2021,Technical Equipment,Coast Guard Sector
2021/208,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01/Heavy Technical Equipment,241388,2021,Technical Equipment,Field Deployment Unit
2021/215,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01/Heavy Technical Equipment,316739,2021,Technical Equipment,Field Deployment Unit
2021/233,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01/Heavy Technical Equipment,943280,2021,Technical Equipment,Field Deployment Unit
2021/243,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01/Heavy Technical Equipment,238186,2021,Technical Equipment,Field Deployment Unit
2021/245,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01/Heavy Technical Equipment,244716,2021,Technical Equipment,Field Deployment Unit
2021/251,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01/Heavy Technical Equipment,849024,2021,Technical Equipment,Field Deployment Unit
2021/269,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",1296401.04,2021,Human Resources,Deployment Management Division
2021/278,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",1287389,2021,Human Resources,Deployment Management Division
2021/289,FDU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01/Heavy Technical Equipment,1051169,2021,Technical Equipment,Field Deployment Unit
