grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/256,OSD,Belgium,Federal Police,Koningsstraat 202A - 1000 Brussels,"Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",281685.83999999997,2024,Human Resources,Operational Support Division
2024/300,RET,Belgium,Fedasil (Federaal agentschap voor de opvang van asielzoekers),"Kartuizersstraat 21, 1000 Brussels – Belgium",2024/ECRET/01,2244,2024,European Centre for Returns,Return Division
2024/307,RET,Belgium,Department of Federal Immigration (Dienst Vreemdelingenzaken),"Pachecolaan 44, 1000 Brussels – Belgium",2024/ECRET/01,207497,2024,European Centre for Returns,Return Division
2024/310,RET,Belgium,International Returns & Reintegration Assistance (NGO),"Breydelstraat 36, 1040 Brussels, Belgium",2023/CFP/POST/04,433379,2024,Post-Return Assistance,Return Division
2023/5,ECRET,Belgium,Department of Federal Immigration (Dienst Vreemdelingenzaken),"Pachecolaan 44, 1000 Brussels – Belgium",2023/ECRET/01,91776,2023,European Centre for Returns,European Centre for Returns
2023/29,ECRET,Belgium,Belgian Immigration Office,"Pachecolaan 44, 1000 Brussels – Belgium",2023/ECRET/01,228747.02,2023,European Centre for Returns,European Centre for Returns
2023/105,DMD,Belgium,Federal Police,Koningsstraat 202A - 1000 Brussels,2023/DMD/01 Human resources and Light technical equipment,648837,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/118,DMD,Belgium,Federal Police,Koningsstraat 202A - 1000 Brussels,"Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",336210.12,2023,Human Resources,Deployment Management Division
2023/131,DMD,Belgium,Belgian Immigration Office,"Pachecolaan 44, 1000 Brussels – Belgium",2023/DMD/01 Human resources and Light technical equipment,167602,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/155,DMD,Belgium,General Administration of Customs and Excise,Koning Albert II laan 33 1030 Brussel,2023/DMD/01 Human resources and Light technical equipment,37729,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/167,ECRET,Belgium,International Returns & Reintegration Assistance,"Breydelstraat 36, 1040 Brussels, Belgium",2023/CFP/POST/01,6332100,2023,Post-Return Assistance,European Centre for Returns
2023/176,ECRET,Belgium,Caritas International Belgium (NGO),rue de la Charité 43 ; 1210 Brussels,2023/CFP/POST/01,5468240,2023,Post-Return Assistance,European Centre for Returns
2023/178,ECRET,Belgium,Caritas International Belgium (NGO),rue de la Charité 43 ; 1210 Brussels,2023/CFP/POST/01,226510,2023,Post-Return Assistance,European Centre for Returns
2023/222,DMD,Belgium,Federal Police,Koningsstraat 202A - 1000 Brussels,"Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",726940.8,2023,Human Resources,Deployment Management Division
2023/237,ECRET,Belgium,Department of Federal Immigration (Dienst Vreemdelingenzaken),"Pachecolaan 44, 1000 Brussels – Belgium",2023/ECRET/01,209566,2023,European Centre for Returns,European Centre for Returns
2023/272,ECRET,Belgium,Fedasil (Federaal agentschap voor de opvang van asielzoekers),"KARTUIZERSSTRAAT 21, 1000 Brussels – Belgium",2023/ECRET/01,4276,2023,European Centre for Returns,European Centre for Returns
