grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2014/155,LBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/LBS/04 Focal Points Land,30557.83,2014,Focal Points,Land Borders Sector
2014/175,ROS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2013/ROS/50 JRO to Bosnia&Herzegovina,81600,2014,Return Operations,Return Operations Sector
2014/177,LBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/LBS/04 Focal Points Land,48984.16,2014,Focal Points,Land Borders Sector
2014/181,ABS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/ABS/03 Focal Points,1020,2014,Focal Points,Air Border Sector
2014/204,SBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/SBS/08 Focal Points,3227.2,2014,Focal Points,Sea Border Sector
2014/211,FSC,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/FSC/03 FSC Support Officer Deployment,14127.69,2014,FSC Support Officer Deployment,Frontex Situation Centre
2014/238,ABS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/ABS/06 Alexis,17286.92,2014,Alexis,Air Border Sector
2014/250,LBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/LBS/04 Focal Points Land,17481.23,2014,Focal Points,Land Borders Sector
2014/259,SBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/SBS/08 Focal Points,1424.06,2014,Focal Points,Sea Border Sector
2014/294,LBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/LBS/02 Flexible Operational Activities,26995.91,2014,Flexible Operational Activities,Land Borders Sector
2014/296,SBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/SBS/05 EPN-Hermes,8747.54,2014,Hermes,Sea Border Sector
2014/324,SBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/SBS/08 Focal Points,14193.23,2014,Focal Points,Sea Border Sector
2014/325,SBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/SBS/06 EPN-Aeneas,8480.04,2014,Aeneas,Sea Border Sector
2014/353,ABS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/ABS/06 Alexis,7028.83,2014,Alexis,Air Border Sector
2014/359,SBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/SBS/03 EPN-Indalo,60923.62,2014,Indalo,Sea Border Sector
2014/369,LBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/LBS/06 Poseidon Land,30584.57,2014,Poseidon,Land Borders Sector
2014/389,ABS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/ABS/03 Focal Points,11763.06,2014,Focal Points,Air Border Sector
2014/423,SBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/SBS/03 EPN-Indalo,587122.51,2014,Indalo,Sea Border Sector
2014/424,ROS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/ROS/20 JRO to Pakistan,433500,2014,Return Operations,Return Operations Sector
2014/462,SBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/SBS/06 EPN-Aeneas,235712.54,2014,Aeneas,Sea Border Sector
2014/511,LBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/LBS/06 Poseidon Land,26404.13,2014,Poseidon,Land Borders Sector
2014/540,SBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/SBS/07 Poseidon Sea,422600.22,2014,Poseidon,Sea Border Sector
2014/548,LBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/LBS/04 Focal Points Land,8319.9,2014,Focal Points,Land Borders Sector
2014/552,ROS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/ROS/23 JRO to Albania & Georgia,194310,2014,Return Operations,Return Operations Sector
2014/557,ABS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/ABS/03 Focal Points,2880,2014,Focal Points,Air Border Sector
2014/609,SBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/SBS/04 EPN-Minerva,51302.63,2014,Minerva,Sea Border Sector
2014/610,SBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/SBS/04 EPN-Minerva,130428.71,2014,Minerva,Sea Border Sector
2014/616,SBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/SBS/06 EPN-Aeneas,8902.62,2014,Aeneas,Sea Border Sector
2014/633,SBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/SBS/02 EPN-Hera,656827.87,2014,Hera,Sea Border Sector
2014/640,SBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/SBS/03 EPN-Indalo,523294.01,2014,Indalo,Sea Border Sector
2014/661,LBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/LBS/02 Flexible Operational Activities,29223.24,2014,Flexible Operational Activities,Land Borders Sector
2014/724,SBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/SBS/03 EPN-Indalo,40665.56,2014,Indalo,Sea Border Sector
2014/742,SBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/SBS/08 Focal Points,5823.3,2014,Focal Points,Sea Border Sector
2014/748,LBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/LBS/04 Focal Points Land,56583.14,2014,Focal Points,Land Borders Sector
2014/750,SBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/SBS/06 EPN-Aeneas,442439.11,2014,Aeneas,Sea Border Sector
2014/752,ABS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/ABS/06 Alexis,12320.09,2014,Alexis,Air Border Sector
2014/753,ABS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/ABS/12 Vega Children,15188.65,2014,VEGA Children,Air Border Sector
2014/777,LBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/LBS/06 Poseidon Land,30749.13,2014,Poseidon,Land Borders Sector
2014/822,SBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/SBS/05 EPN-Hermes,8426.54,2014,Hermes,Sea Border Sector
2014/823,ABS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/ABS/06 Alexis,12619.51,2014,Alexis,Air Border Sector
2014/826,LBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/LBS/04 Focal Points Land,11415.4,2014,Focal Points,Land Borders Sector
2014/830,LBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/LBS/06 Poseidon Land,4686.11,2014,Poseidon,Land Borders Sector
2014/834,SBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/SBS/05 EPN-Hermes,603020.4,2014,Hermes,Sea Border Sector
2014/852,SBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/SBS/07 Poseidon Sea,7620.42,2014,Poseidon,Sea Border Sector
2014/869,FSC,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/FSC/03 FSC Support Officer Deployment,5816.92,2014,FSC Support Officer Deployment,Frontex Situation Centre
2014/872,ROS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/ROS/33 JRO to Albania,83640,2014,Return Operations,Return Operations Sector
2014/876,FSC,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/FSC/03 FSC Support Officer Deployment,12031.72,2014,FSC Support Officer Deployment,Frontex Situation Centre
2014/915,SBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/SBS/09 JO EPN Triton 2014,8480.04,2014,Triton,Sea Border Sector
