grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2021/50,FDU,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2021/FDU/01 Human Resources and light technical equipment,232980,2021,Greece,Technical Equipment & Human Resources,Field Deployment Unit
2021/51,FDU,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2021/FDU/01/Heavy Technical Equipment,1533138,2021,Latvia,Technical Equipment,Field Deployment Unit
2021/55,FDU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2021/FDU/01 Human Resources and light technical equipment,1829266,2021,Austria,Technical Equipment & Human Resources,Field Deployment Unit
2021/58,FDU,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  UrbanizaÃ§Ã£o CabanasGolfe, no 1, 2734-506 Barcarena, Portugal",2021/FDU/01 Human Resources and light technical equipment,336352,2021,Portugal,Technical Equipment & Human Resources,Field Deployment Unit
2021/59,FDU,Hungarian National Police,"4-6. Teve utca, Budapest 1139, Hungary",2021/FDU/01 Human Resources and light technical equipment,2375809,2021,Hungary,Technical Equipment & Human Resources,Field Deployment Unit
2021/61,FDU,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2021/FDU/01 Human Resources and light technical equipment,913488,2021,Finland,Technical Equipment & Human Resources,Field Deployment Unit
2021/63,FDU,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2021/FDU/01/Heavy Technical Equipment,379731,2021,Finland,Technical Equipment,Field Deployment Unit
2021/64,FDU,State Border Guard Service Lithuania,"SAVANORIÅ² PR. 2, Vilnius LT-03116, Lithuania",2021/FDU/01 Human Resources and light technical equipment,953404,2021,Lithuania,Technical Equipment & Human Resources,Field Deployment Unit
2021/66,FDU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01 Human Resources and light technical equipment,652296,2021,Italy,Technical Equipment & Human Resources,Field Deployment Unit
2021/67,FDU,Defence Command,"Holmens Kanal 9DK-1060 Copenhagen K, Denmark",2021/FDU/01/Heavy Technical Equipment,964511,2021,Denmark,Technical Equipment,Field Deployment Unit
2021/68,FDU,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2021/FDU/01 Human Resources and light technical equipment,1359796,2021,Greece,Technical Equipment & Human Resources,Field Deployment Unit
2021/69,FDU,"Joint Operations Staff, Defence Command","Holmens Kanal 9DK-1060 Copenhagen K, Denmark",2021/FDU/01 Human Resources and light technical equipment,1862602,2021,Denmark,Technical Equipment & Human Resources,Field Deployment Unit
2021/70,FDU,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2021/FDU/01/Heavy Technical Equipment,1112749,2021,Latvia,Technical Equipment,Field Deployment Unit
2021/71,FDU,Jefatura Fiscal y de Fronteras,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2021/FDU/01/Heavy Technical Equipment,91925,2021,Spain,Technical Equipment,Field Deployment Unit
2021/72,FDU,Police Directorate,"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",Maritime Operational Activities in Montenegro 2021,30400.84,2021,Montenegro,Operational Activities in Montenegro 2021,Field Deployment Unit
2021/73,FDU,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa, Portugal",2021/FDU/01/Heavy Technical Equipment,215436,2021,Portugal,Technical Equipment,Field Deployment Unit
2021/78,FDU,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V, Denmark",2021/FDU/01 Human Resources and light technical equipment,404916,2021,Denmark,Technical Equipment & Human Resources,Field Deployment Unit
2021/79,FDU,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2021/FDU/01 Human Resources and light technical equipment,1500000,2021,Greece,Technical Equipment & Human Resources,Field Deployment Unit
2021/82,FDU,Police and Border Guard Board,"PÃ¤rnu mnt 139, 15060 Tallinn, Estonia",2021/FDU/01 Human Resources and light technical equipment,897935,2021,Estonia,Technical Equipment & Human Resources,Field Deployment Unit
2021/83,FDU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01 Human Resources and light technical equipment,1215863,2021,Italy,Technical Equipment & Human Resources,Field Deployment Unit
2021/84,FDU,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2021/FDU/01/Heavy Technical Equipment,995389,2021,Greece,Technical Equipment,Field Deployment Unit
2021/85,FDU,Direction Centrale de la Police Judiciaire,"11 rue de Saussaies, 75008 Paris, France",2021/FDU/01 Human Resources and light technical equipment,47947,2021,France,Technical Equipment & Human Resources,Field Deployment Unit
2021/87,FDU,Direction Generale de la Gendarmerie nationale,"4 rue Claude Bernard, 92130 Issy-les-Moulineaux, France",2021/FDU/01 Human Resources and light technical equipment,350845,2021,France,Technical Equipment & Human Resources,Field Deployment Unit
2021/88,FDU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2021/FDU/01/Heavy Technical Equipment,383104,2021,Italy,Technical Equipment,Field Deployment Unit
2021/89,FDU,Portugese Air Force,"Avenida da ForÃ§a AÃ©rea n.o1, Alfragide 2614-506,Portugal",2021/FDU/01 Human Resources and light technical equipment,11824,2021,Portugal,Technical Equipment & Human Resources,Field Deployment Unit
2021/91,FDU,Comisaría General de Extranjería y Fronteras,"C/ General PardiÃ±as 90 bis, 28006, Madrid, Spain",2021/FDU/01 Human Resources and light technical equipment,247649,2021,Spain,Technical Equipment & Human Resources,Field Deployment Unit
2021/92,FDU,Ministry of Internal Security,"4, Place de l'EuropeL-1499 Luxembourg",2021/FDU/01/Heavy Technical Equipment,858434,2021,Luxembourg,Technical Equipment,Field Deployment Unit
2021/93,FDU,Danish Immigration Service,"Farimagsvej 51A, 4700 NÃ¦stved, Denmark",2021/FDU/01 Human Resources and light technical equipment,52530,2021,Denmark,Technical Equipment & Human Resources,Field Deployment Unit
2021/94,FDU,Jefatura Fiscal y de Fronteras,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2021/FDU/01 Human Resources and light technical equipment,951949,2021,Spain,Technical Equipment & Human Resources,Field Deployment Unit
2021/95,FDU,Direction Centrale de la Securite Publique,"Place Beauvau 75008 Paris, France",2021/FDU/01 Human Resources and light technical equipment,69328,2021,France,Technical Equipment & Human Resources,Field Deployment Unit
2021/96,FDU,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2021/FDU/01 Human Resources and light technical equipment,3221611,2021,Romania,Technical Equipment & Human Resources,Field Deployment Unit
2021/97,FDU,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2021/FDU/01 Human Resources and light technical equipment,705471,2021,Slovenia,Technical Equipment & Human Resources,Field Deployment Unit
2021/98,FDU,Customs/Border Guard,"Federal Customs Administration AFD, Monbijoustrasse40, CH-3003 Bern",2021/FDU/01 Human Resources and light technical equipment,521815,2021,Switzerland,Technical Equipment & Human Resources,Field Deployment Unit
2021/99,FDU,Icelandic Coast Guard,"Skogarhlid 14, 105 Reykjavik, Iceland",2021/FDU/01/Heavy Technical Equipment,1372331,2021,Iceland,Technical Equipment,Field Deployment Unit
2021/101,FDU,Police and Border Guard Board,"PÃ¤rnu mnt 139, 15060 Tallinn, Estonia",2021/FDU/01/Heavy Technical Equipment,111516,2021,Estonia,Technical Equipment,Field Deployment Unit
2021/106,FDU,Slovak Ministry of Interior,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2021/FDU/01 Human Resources and light technical equipment,449560,2021,Slovakia,Technical Equipment & Human Resources,Field Deployment Unit
2021/110,FDU,Direction Centrale des compagnies republicaines de securite,"Place Beauvau - Site Garance - 75800 PARIS Cedex 8,France",2021/FDU/01 Human Resources and light technical equipment,94168,2021,France,Technical Equipment & Human Resources,Field Deployment Unit
2021/111,FDU,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil CedexFrance",2021/FDU/01/Heavy Technical Equipment,157339,2021,France,Technical Equipment,Field Deployment Unit
2021/112,FDU,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2021/FDU/01/Heavy Technical Equipment,362280,2021,Croatia,Technical Equipment,Field Deployment Unit
