grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2014/248,ABS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/ABS/03 Focal Points,6366.5,2014,Focal Points (Air),Air Border Sector
2014/267,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/02 Flexible Operational Activities,10732.1,2014,Flexible Operational Activities,Land Borders Sector
2014/349,ABS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/ABS/06 Alexis,7185.05,2014,Alexis,Air Border Sector
2014/421,SBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/SBS/08 Focal Points,620,2014,Focal Points (Sea),Sea Border Sector
2014/442,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/05 Coordination Points,14562.7,2014,Coordination Points,Land Borders Sector
2014/465,SBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/SBS/08 Focal Points,8424.11,2014,Focal Points (Sea),Sea Border Sector
2014/491,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/03 Flexible Operational Activities,9136.73,2014,Flexible Operational Activities,Land Borders Sector
2014/547,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/04 Focal Points Land,10877.62,2014,Focal Points (Land),Land Borders Sector
2014/558,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/03 Flexible Operational Activities,18414.7,2014,Flexible Operational Activities,Land Borders Sector
2014/572,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/06 Poseidon Land,8403.78,2014,Poseidon,Land Borders Sector
2014/578,SBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/SBS/04 EPN-Minerva,5672.07,2014,Minerva,Sea Border Sector
2014/590,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/04 Focal Points Land,11233.93,2014,Focal Points (Land),Land Borders Sector
2014/598,FSC,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/FSC/03 FSC Support Officer Deployment,10482.93,2014,Frontex Situation Centre,Frontex Situation Centre
2014/606,SBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/SBS/08 Focal Points,9371.06,2014,Focal Points (Sea),Sea Border Sector
2014/646,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/06 Poseidon Land,16182.68,2014,Poseidon,Land Borders Sector
2014/723,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/02 Flexible Operational Activities,11123.72,2014,Flexible Operational Activities,Land Borders Sector
2014/727,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/04 Focal Points Land,1140,2014,Focal Points (Land),Land Borders Sector
2014/745,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/04 Focal Points Land,7970.43,2014,Focal Points (Land),Land Borders Sector
2014/759,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/06 Poseidon Land,17466.68,2014,Poseidon,Land Borders Sector
2014/798,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/04 Focal Points Land,37905.82,2014,Focal Points (Land),Land Borders Sector
2014/849,ABS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/ABS/05 JO Pegasus,16458.74,2014,Other joint operations,Air Border Sector
2014/853,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/06 Poseidon Land,16169.84,2014,Poseidon,Land Borders Sector
2014/919,SBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/SBS/09 JO EPN Triton 2014,6405.02,2014,Triton,Sea Border Sector
2014/936,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/06 Poseidon Land,15955.84,2014,Poseidon,Land Borders Sector
2014/955,PRU,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/PRU/05 Rex 2014,13229.48,2014,Rex 2014,Pooled Resources Unit
2014/994,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/06 Poseidon Land,15399.44,2014,Poseidon,Land Borders Sector
2014/1018,SBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/SBS/07 Poseidon Sea,3513.99,2014,Poseidon,Sea Border Sector
2014/1079,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/04 Focal Points Land,16591.42,2014,Focal Points (Land),Land Borders Sector
2014/1089,SBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/SBS/09 JO EPN Triton 2014,102925.31,2014,Triton,Sea Border Sector
2014/1093,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/04 Focal Points Land,16041.44,2014,Focal Points (Land),Land Borders Sector
2014/1095,SBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/SBS/07 Poseidon Sea,69346.7,2014,Poseidon,Sea Border Sector
2013/81,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/04 JO Focal Points 2013 Land,3726,2013,Focal Points (Land),Land Borders Sector
2013/101,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/04 JO Focal Points 2013 Land,11804.24,2013,Focal Points (Land),Land Borders Sector
2013/117,ABS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/ABS/06 JO Flexi Force 2013 Mizar Operational Module,10031.25,2013,Other joint operations,Air Border Sector
2013/177,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/06 JO Poseidon Land,37321.6,2013,Poseidon,Land Borders Sector
2013/209,ABS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/ABS/03 JO Focal Points 2013 Air,5735.2,2013,Focal Points (Air),Air Border Sector
2013/260,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/06 JO Poseidon Land,45392.61,2013,Poseidon,Land Borders Sector
