grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2010/335/,ABS,Netherlands,Royal Marechaussee,NA,2010/OPS/09 Air Border Focal Points 2010,12341.25,2010,Focal Points,Air Border Sector
2010/350/,ABS,United Kingdom,Border Agency,NA,2010/OPS/05 JO Hubble 2010,9866.35,2010,Hubble,Air Border Sector
2010/357/,ABS,Austria,Federal Ministry of Interior,NA,2010/OPS/09 Air Border Focal Points 2010,6925.29,2010,Focal Points,Air Border Sector
2010/358/,ABS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,NA,2010/OPS/09 Air Border Focal Points 2010,11984.05,2010,Focal Points,Air Border Sector
2010/359/,ABS,Netherlands,Royal Marechaussee,NA,2010/OPS/09 Air Border Focal Points 2010,11913.25,2010,Focal Points,Air Border Sector
2010/360/,ABS,Romania,Romanian Border Police / Coast Guard,NA,2010/OPS/09 Air Border Focal Points 2010,13953.36,2010,Focal Points,Air Border Sector
2010/416/,ABS,Austria,Federal Ministry of Interior,NA,2010/OPS/09 Air Border Focal Points 2010,33979.99,2010,Focal Points,Air Border Sector
2010/437/,ABS,Italy,Guardia Costiera,NA,2010/OPS/09 Air Border Focal Points 2010,8597.52,2010,Focal Points,Air Border Sector
2010/438/,ABS,Latvia,State Border Guard,NA,2010/OPS/09 Air Border Focal Points 2010,11525.05,2010,Focal Points,Air Border Sector
2010/439/,ABS,Latvia,State Border Guard,NA,2010/OPS/09 Air Border Focal Points 2010,10228.55,2010,Focal Points,Air Border Sector
2010/440/,ABS,Lithuania,State Border Guard Service Lithuania,NA,2010/OPS/09 Air Border Focal Points 2010,5620.51,2010,Focal Points,Air Border Sector
2010/448/,ABS,Finland,Finnish Border Guard,NA,2010/OPS/09 Air Border Focal Points 2010,7634.72,2010,Focal Points,Air Border Sector
2010/449/,ABS,France,Direction Central de la Police aux Frontieres,NA,2010/OPS/09 Air Border Focal Points 2010,6587.2,2010,Focal Points,Air Border Sector
2010/450/,ABS,Malta,Malta Police Force,NA,2010/OPS/09 Air Border Focal Points 2010,13032,2010,Focal Points,Air Border Sector
2010/451/,ABS,Netherlands,Royal Marechaussee,NA,2010/OPS/09 Air Border Focal Points 2010,10566.24,2010,Focal Points,Air Border Sector
2010/454/,ABS,Germany,Federal Police Central Office,NA,2010/OPS/09 Air Border Focal Points 2010,18379.2,2010,Focal Points,Air Border Sector
2010/455/,ABS,Germany,Federal Police Central Office,NA,2010/OPS/09 Air Border Focal Points 2010,6514,2010,Focal Points,Air Border Sector
2010/456/,ABS,Germany,Federal Police Central Office,NA,2010/OPS/09 Air Border Focal Points 2010,20467.66,2010,Focal Points,Air Border Sector
2010/457/,ABS,Poland,Border Guard,NA,2010/OPS/09 Air Border Focal Points 2010,7413.5,2010,Focal Points,Air Border Sector
2010/479/,ABS,Austria,Federal Ministry of Interior,NA,2010/OPS/53 JO Hydra Extended 2010,19038.8,2010,JO Hydra Extended 2010,Air Border Sector
2010/480/,ABS,Belgium,Federal Police,NA,2010/OPS/53 JO Hydra Extended 2010,11792.75,2010,JO Hydra Extended 2010,Air Border Sector
2010/481/,ABS,Czech Republic,"Directorate of Alien and Border Police, Police of the Czech Republic",NA,2010/OPS/53 JO Hydra Extended 2010,9975.7,2010,JO Hydra Extended 2010,Air Border Sector
2010/482/,ABS,Estonia,Police and Border Guard Board,NA,2010/OPS/53 JO Hydra Extended 2010,8005.3,2010,JO Hydra Extended 2010,Air Border Sector
2010/483/,ABS,Hungary,Hungarian National Police,NA,2010/OPS/53 JO Hydra Extended 2010,9072.8,2010,JO Hydra Extended 2010,Air Border Sector
2010/484/,ABS,Netherlands,Royal Marechaussee,NA,2010/OPS/53 JO Hydra Extended 2010,37285.09,2010,JO Hydra Extended 2010,Air Border Sector
2010/485/,ABS,Poland,Border Guard,NA,2010/OPS/53 JO Hydra Extended 2010,8824.45,2010,JO Hydra Extended 2010,Air Border Sector
2010/486/,ABS,United Kingdom,Border Agency,NA,2010/OPS/53 JO Hydra Extended 2010,8202.5,2010,JO Hydra Extended 2010,Air Border Sector
2010/487/,ABS,Finland,Finnish Border Guard,NA,2010/OPS/53 JO Hydra Extended 2010,10192.42,2010,JO Hydra Extended 2010,Air Border Sector
2010/488/,ABS,France,Direction Central de la Police aux Frontieres,NA,2010/OPS/53 JO Hydra Extended 2010,26163.24,2010,JO Hydra Extended 2010,Air Border Sector
2010/489/,ABS,Germany,Federal Police Central Office,NA,2010/OPS/53 JO Hydra Extended 2010,28149.08,2010,JO Hydra Extended 2010,Air Border Sector
2010/490/,ABS,Romania,Romanian Border Police / Coast Guard,NA,2010/OPS/53 JO Hydra Extended 2010,39258.15,2010,JO Hydra Extended 2010,Air Border Sector
2010/545/,ABS,Czech Republic,"Directorate of Alien and Border Police, Police of the Czech Republic",NA,2010/OPS/09 Air Border Focal Points 2010,14903.02,2010,Focal Points,Air Border Sector
2010/546/,ABS,Poland,Border Guard,NA,2010/OPS/09 Air Border Focal Points 2010,5062.88,2010,Focal Points,Air Border Sector
2010/547/,ABS,Poland,Border Guard,NA,2010/OPS/09 Air Border Focal Points 2010,15530.42,2010,Focal Points,Air Border Sector
2010/548/,ABS,Estonia,Police and Border Guard Board,NA,2010/OPS/09 Air Border Focal Points 2010,11132.42,2010,Focal Points,Air Border Sector
2010/549/,ABS,Romania,Romanian Border Police / Coast Guard,NA,2010/OPS/09 Air Border Focal Points 2010,6219.39,2010,Focal Points,Air Border Sector
2010/557/,ABS,Slovakia,Border and Alien Police Directorate,NA,2010/OPS/09 Air Border Focal Points 2010,7075.65,2010,Focal Points,Air Border Sector
2010/558/,ABS,Slovakia,Border and Alien Police Directorate,NA,2010/OPS/09 Air Border Focal Points 2010,6599.5,2010,Focal Points,Air Border Sector
2010/579/,ABS,Slovakia,Bureau of Border and Alien Police,NA,2010/OPS/09 Air Border Focal Points 2010,4196.15,2010,Focal Points,Air Border Sector
2010/580/,ABS,Germany,Federal Police Central Office,NA,2010/OPS/09 Air Border Focal Points 2010,3308,2010,Focal Points,Air Border Sector
2010/581/,ABS,Germany,Federal Police Central Office,NA,2010/OPS/09 Air Border Focal Points 2010,25437.22,2010,Focal Points,Air Border Sector
2010/582/,ABS,France,Direction Central de la Police aux Frontieres,NA,2010/OPS/09 Air Border Focal Points 2010,6587.2,2010,Focal Points,Air Border Sector
