grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2014/225,ROS,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2014/ROS/12 JRO to Nigeria,20058.24,2014,Return Operations,Return Operations Sector
2014/249,LBS,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2014/LBS/06 Poseidon Land,54302.5,2014,Poseidon,Land Borders Sector
2014/333,ROS,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2014/ROS/16 JRO to Nigeria,2567.38,2014,Return Operations,Return Operations Sector
2014/418,LBS,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2014/LBS/06 Poseidon Land,61773.24,2014,Poseidon,Land Borders Sector
2014/475,ROS,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2014/ROS/20 JRO to Pakistan,10266.7,2014,Return Operations,Return Operations Sector
2014/504,ROS,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2014/ROS/21 JRO to Nigeria,3058.49,2014,Return Operations,Return Operations Sector
2014/628,LBS,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2014/LBS/06 Poseidon Land,53106.24,2014,Poseidon,Land Borders Sector
2014/641,SBS,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2014/SBS/07 Poseidon Sea,331182,2014,Poseidon,Sea Border Sector
2014/896,ROS,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2014/ROS/30 JRO to Nigeria,18227.94,2014,Return Operations,Return Operations Sector
2014/933,SBS,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2014/SBS/09 JO EPN Triton 2014,300890.35,2014,Triton,Sea Border Sector
2014/1073,SBS,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2014/SBS/09 JO EPN Triton 2014,97920.85,2014,Triton,Sea Border Sector
2013/42,FSC,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2013/FSC/04 FSC Support Officer Deployment,21038.07,2013,Frontex Situation Centre,Frontex Situation Centre
2013/53,LBS,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2013/LBS/06 JO Poseidon Land,72620.9,2013,Poseidon,Land Borders Sector
2013/131,ROS,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2012/ROS/46 JRO to Nigeria,1097.4,2013,Return Operations,Return Operations Sector
2013/207,ABS,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2013/ABS/03 JO Focal Points 2013 Air,9197.72,2013,Focal Points (Air),Air Border Sector
2013/245,LBS,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2013/LBS/06 JO Poseidon Land,83806.68,2013,Poseidon,Land Borders Sector
2013/307,ABS,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2013/ABS/06 JO Flexi Force 2013 Mizar Operational Module,10598.35,2013,Other joint operations,Air Border Sector
2013/359,SBS,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2013/SBS/P1/05 EPN-Hermes 2013,8693.17,2013,Hermes,Sea Border Sector
2013/473,LBS,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2013/LBS/06 JO Poseidon Land,34190.78,2013,Poseidon,Land Borders Sector
2013/475,SBS,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2013/SBS/P1/06 EPN-Aeneas 2013,182380.97,2013,Aeneas,Sea Border Sector
2013/553,SBS,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2013/SBS/P1/06 EPN-Aeneas 2013,12666.78,2013,Aeneas,Sea Border Sector
2013/619,ROS,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2013/ROS/26 JRO to Nigeria,1904.02,2013,Return Operations,Return Operations Sector
2013/661,ROS,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2013/ROS/01 Attica,9827.95,2013,Attica,Return Operations Sector
2013/764,SBS,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2013/SBS/02 JO Poseidon Sea 2013,255458.65,2013,Poseidon,Sea Border Sector
2012/96,ROS,Malta,Malta Police Force,NA,2011/ROS/55 JRO to Nigeria,4011.53,2012,Return Operations,Return Operations Sector
2012/174,LBS,Malta,Armed Forces of Malta,NA,2012/LBS/06 JO Poseidon Land 2012,42023.56,2012,Poseidon,Land Borders Sector
2012/251,LBS,Malta,Armed Forces of Malta,NA,2012/LBS/06 JO Poseidon Land 2012,44631.36,2012,Poseidon,Land Borders Sector
2012/550,SBS,Malta,Malta Police Force,NA,2012/SBS/02 JO Poseidon Sea 2012,8080,2012,Poseidon,Sea Border Sector
2012/622,ABS,Malta,Malta Police Force,NA,2012/ABS/03 JO Focal Points 2012,6510.5,2012,Focal Points (Air),Air Border Sector
2012/716,SBS,Malta,Armed Forces of Malta,NA,2012/SBS/01 EPN General-Reporting Tools-Reporting Staff Exchange,2091.03,2012,EPN General-Reporting Tools-Reporting Staff Exchange,Sea Border Sector
2012/741,SBS,Malta,Malta Police Force,NA,2012/SBS/02 JO Poseidon Sea 2012,7921.45,2012,Poseidon,Sea Border Sector
2012/779,ROS,Malta,Malta Police Force,NA,2012/ROS/31 JRO to Nigeria,1875.56,2012,Return Operations,Return Operations Sector
2012/798,SBS,Malta,Armed Forces of Malta,NA,2012/SBS/01 EPN-Indalo 2012,167600.74,2012,Indalo,Sea Border Sector
2012/997,LBS,Malta,Armed Forces of Malta,NA,2012/LBS/06 JO Poseidon Land 2012,44313.02,2012,Poseidon,Land Borders Sector
2010/749/,SBS,Malta,Malta Police Force,NA,2010/OPS/17 JO Poseidon 2010 Sea,2230.14,2011,Poseidon,Sea Border Sector
