grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2019/233,ECRET,Department of Federal Immigration (Dienst Vreemdelingenzaken),"Pachecolaan 44, 1000 Brussels â€“ Belgium",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,50358,2019,Belgium,FOA,European Centre for Returns
2019/236,ECRET,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  UrbanizaÃ§Ã£oCabanas Golfe, no 1, 2734-506 Barcarena",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,13833.97,2019,Portugal,FOA,European Centre for Returns
2019/237,ECRET,Federal Police Central Office,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam,Germany",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,91774,2019,Germany,FOA,European Centre for Returns
2019/238,ECRET,Swedish Police Authority,"P.O. Box 12256,  SE-10226, Stockholm, Sweden",2019/ECRet/01-FOA-R 2019 including return and pre-  return related activities,1234189,2019,Sweden,FOA,European Centre for Returns
2019/242,ECRET,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,1397406.94,2019,Italy,FOA,European Centre for Returns
2019/243,ECRET,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,693637.2,2019,France,FOA,European Centre for Returns
2019/244,ECRET,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna,Austria",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,1989838,2019,Austria,FOA,European Centre for Returns
2019/245,ECRET,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA,Albania",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,5649.6,2019,Albania,FOA,European Centre for Returns
2019/247,ECRET,Comisaría General de Extranjería y Fronteras,"C/ General PardiÃ±as 90 bis, 28006, Madrid",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,771312,2019,Spain,FOA,European Centre for Returns
2019/248,ECRET,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,3640,2019,Greece,FOA,European Centre for Returns
2019/253,ECRET,National Police Commissioner,"SkÃºlagata 21, IS-101 Reykjavik, Iceland",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,6329,2019,Iceland,FOA,European Centre for Returns
2019/256,ECRET,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,11075,2019,Latvia,FOA,European Centre for Returns
2019/257,ECRET,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,5305,2019,Slovenia,FOA,European Centre for Returns
2019/272,ECRET,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,41274,2019,Poland,FOA,European Centre for Returns
2019/276,ECRET,Chief Directorate Border Police - Ministry of Interior,"48 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202,Bulgaria",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,34924,2019,Bulgaria,FOA,European Centre for Returns
2019/280,ECRET,National Police Immigration Service,"Ã˜kern veien 11-13, Postbox 8102 Dep. 0032 Oslo,Norway",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,406345,2019,Norway,FOA,European Centre for Returns
2019/281,ECRET,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,98000,2019,Finland,FOA,European Centre for Returns
2019/286,ECRET,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,34277,2019,Hungary,FOA,European Centre for Returns
2019/303,ECRET,Repatriation and Departure Service,"Rijnstraat 8 | 2515 XP | The HaguePostal adress: P.O. Box 164 | 2501 CD | The Hague",2019/ECRet/01-FOA-R 2019,42129,2019,Netherlands,FOA,European Centre for Returns
2019/309,ECRET,State Secretariat for Migration,"Operations Center (OPC)Postfach 314, CH-8058 ZÃ¼rich-Flughafen,Switzerland",2019/ECRet/01-FOA-R 2019,34061,2019,Switzerland,FOA,European Centre for Returns
2019/318,ECRET,Federal Police Regional Office Koblenz,"RoonstraÃŸe 13, 56068 Koblenz",2019/ECRet/01-FOA-R 2019,6323391.82,2019,Germany,FOA,European Centre for Returns
2019/319,ECRET,Federal Police Central Office,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam,Germany",2019/ECRet/01-FOA-R 2019,18856,2019,Germany,FOA,European Centre for Returns
2019/320,ECRET,Swedish Police Authority,"P.O. Box 12256,  SE-10226, Stockholm, Sweden",2019/ECRet/01-FOA-R 2019,1445558,2019,Sweden,FOA,European Centre for Returns
2019/322,ECRET,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2019/ECRet/01-FOA-R 2019,3640,2019,Greece,FOA,European Centre for Returns
2019/323,ECRET,Department of Federal Immigration (Dienst Vreemdelingenzaken),"Pachecolaan 44, 1000 Brussels â€“ Belgium",2019/ECRet/01-FOA-R 2019,388083,2019,Belgium,FOA,European Centre for Returns
2019/324,ECRET,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna,Austria",2019/ECRet/01-FOA-R 2019,1107132,2019,Austria,FOA,European Centre for Returns
2019/327,ECRET,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2019/ECRet/01-FOA-R 2019,5189.5,2019,Ukraine,FOA,European Centre for Returns
2019/328,ECRET,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017,Luxembourg",2019/ECRet/01-FOA-R 2019,62594,2019,Luxembourg,FOA,European Centre for Returns
2019/331,ECRET,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,557749,2019,France,FOA,European Centre for Returns
2019/334,ECRET,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA,Albania",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,8902.4,2019,Albania,FOA,European Centre for Returns
2019/337,ECRET,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,931454,2019,Italy,FOA,European Centre for Returns
2019/338,ECRET,Comisaría General de Extranjería y Fronteras,"C/ General PardiÃ±as 90 bis, 28006, Madrid",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,863987,2019,Spain,FOA,European Centre for Returns
2019/351,ECRET,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,7276,2019,Georgia,FOA,European Centre for Returns
2019/352,ECRET,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA,Albania",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,15579.2,2019,Albania,FOA,European Centre for Returns
2019/353,ECRET,National Police Commissioner,"SkÃºlagata 21, IS-101 Reykjavik, Iceland",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,80880,2019,Iceland,FOA,European Centre for Returns
