grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2008/014/,LBS,Hungarian National Police,NA,2008/OPS/03 Atlas I,44742.53,2008,Hungary,Atlas I,Land Borders Sector
2008/023/,ABS,Hungarian National Police,NA,2008/OPS/08/Zarathustra,6398.85,2008,Hungary,2008/OPS/08/Zarathustra,Air Border Sector
2008/040/,LBS,Hungarian National Police,NA,2008/OPS/06-Gordius,27745.29,2008,Hungary,2008/OPS/06-Gordius,Land Borders Sector
2008/056/,LBS,Hungarian National Police,NA,2008/OPS/13/Heracles,21004.08,2008,Hungary,Hera,Land Borders Sector
2008/170/,LBS,Hungarian National Police,NA,2008/OPS/03 Atlas II,35066.73,2008,Hungary,Atlas II,Land Borders Sector
2008/223/,LBS,Hungarian National Police,NA,2008/OPS/16 JO DRIVE IN 2008,2532.11,2008,Hungary,JO DRIVE IN 2008,Land Borders Sector
2008/237/,LBS,Hungarian National Police,NA,2008/OPS/06-Gordius 2nd phase,42486.98,2008,Hungary,2nd phase,Land Borders Sector
2008/259/,LBS,Hungarian National Police,NA,2008/OPS/21 KRAS,3713.56,2008,Hungary,KRAS,Land Borders Sector
2008/273/,LBS,Hungarian National Police,NA,2008/OPS/13/Heracles,41144.82,2008,Hungary,Hera,Land Borders Sector
2008/312/,LBS,Hungarian National Police,NA,2008/OPS/03 Atlas III,44380.07,2008,Hungary,Atlas III,Land Borders Sector
2008/324/,ABS,Hungarian National Police,NA,2008/OPS/27 Hammer 2008,9954,2008,Hungary,Hammer,Air Border Sector
