country,beneficiary,eur
Serbia,Ministry of Internal Affairs,1615269.11
Moldova,Border Police,1469981
Cyprus,"Cyprus Police, Police Headquarters",813944.2
Cyprus,Civil Registry and Migration Department (CRMD),160015
Cyprus,"Cyprus Police, Aliens and Immigration Unit",156634.79
Cyprus,Cyprus Police,115811.74
Cyprus,Ministry of Justice and Public Order,13989.66
Ukraine,State Border Guard Service Ukraine,1211294.42
Georgia,Patrol Police Department,677905.42
Georgia,Border Police of Georgia,72808.84
North Macedonia,Ministry of Internal Affairs Macedonia,279695.9
North Macedonia,"Public Security Bureau, Ministry of Internal Affairs",153002.22
Montenegro,Police Directorate,337604.14
Montenegro,Ministry of Internal Affairs Montenegro,13157
Kosovo,General Directorate of Kosovo Police,330887.68
Pakistan,"Women Empowerment Literacy & Development Organisation, Non-profit Organisation",303960
Turkey,Turkish National Police,138878.74
Turkey,"Police, International Relations Department",57776
Turkey,"Police, Border Gates Department",44158.9
Turkey,Ministry of Interior Turkey,12928.3
Turkey,"Ministry of Interior, Border Management Department",6388
Bosnia and Herzegovina,Border Police of Bosnia and Herzegovina,140914
Belarus,State Border Committee,113591.46
Egypt,"Life Makers Foundation Egypt, Non-profit organisation",108347
Nigeria,Immigration Service,20774
Cape Verde,Direccao de Estrangeiros e Fronteiras,7140.88
