grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2016/1383,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2,11070 Belgrade,Republic of Serbia",2016/LBS/01 FOA,7698,2016,FOA,Land Borders Sector
2016/1546,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2,11070 Belgrade,Republic of Serbia",2016/LBS/01 FOA,7698,2016,FOA,Land Borders Sector
2016/1633,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2,11070 Belgrade,Republic of Serbia",2016/LBS/01 FOA,7698,2016,FOA,Land Borders Sector
2016/1650,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2,11070 Belgrade,Republic of Serbia",2016/LBS/01 FOA,7698,2016,FOA,Land Borders Sector
2015/246,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade,Republic of Serbia",2015/LBS/01 Flexible Operational Activities,7992,2015,Flexible Operational Activities,Land Borders Sector
2015/361,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade,Republic of Serbia",2015/LBS/01 Flexible Operational Activities,14499,2015,Flexible Operational Activities,Land Borders Sector
2015/387,ABS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade,Republic of Serbia",2015/ABS/06 JO Alexis 2015,6114,2015,Alexis,Air Border Sector
2015/414,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade,Republic of Serbia",2015/LBS/01 Flexible Operational Activities,14268,2015,Flexible Operational Activities,Land Borders Sector
2015/527,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade,Republic of Serbia",2015/LBS/01 Flexible Operational Activities,14268,2015,Flexible Operational Activities,Land Borders Sector
2015/667,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade,Republic of Serbia",2015/LBS/01 Flexible Operational Activities,14268,2015,Flexible Operational Activities,Land Borders Sector
2015/732,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade,Republic of Serbia",2015/LBS/01 Flexible Operational Activities,14363,2015,Flexible Operational Activities,Land Borders Sector
2015/767,ABS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade,Republic of Serbia",2015/ABS/03 Focal Points,4858,2015,Focal Points,Air Border Sector
2015/856,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade,Republic of Serbia",2015/LBS/01 Flexible Operational Activities,18952,2015,Flexible Operational Activities,Land Borders Sector
2015/959,ABS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade,Republic of Serbia",2015/ABS/04 Focal Points Intermediate Managers,3625,2015,Focal Points,Air Border Sector
2015/987,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade,Republic of Serbia",2015/LBS/01 Flexible Operational Activities,14262,2015,Flexible Operational Activities,Land Borders Sector
2015/1131,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade,Republic of Serbia",2015/LBS/01 Flexible Operational Activities,7745,2015,Flexible Operational Activities,Land Borders Sector
2015/1214,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade,Republic of Serbia",2015/LBS/01 Flexible Operational Activities,8245,2015,Flexible Operational Activities,Land Borders Sector
2015/1256,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade,Republic of Serbia",2015/LBS/01 Flexible Operational Activities,7603,2015,Flexible Operational Activities,Land Borders Sector
2014/278,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",2014/LBS/02 Flexible Operational Activities,5528.69,2014,Flexible Operational Activities,Land Borders Sector
2014/713,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",2014/LBS/02 Flexible Operational Activities,5560.79,2014,Flexible Operational Activities,Land Borders Sector
2013/135,ABS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",2013/ABS/06 JO Flexi Force 2013 Mizar Operational Module,4634.17,2013,JO Flexi Force 2013 Mizar Operational Module,Air Border Sector
2013/276,LBS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",2013/LBS/02 JO Neptune 2013,3571.71,2013,Neptune,Land Borders Sector
2013/516,PRU,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",2013/PRU/04 Rapid intervention exercise - REX 2013,5375.68,2013,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/579,ABS,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",2013/ABS/03 JO Focal Points 2013 Air,4618.12,2013,Focal Points,Air Border Sector
2012/134,LBS,Serbia,Ministry of Internal Affairs,NA,2012/LBS/02 JO Neptune 2012,3657.8,2012,Neptune,Land Borders Sector
2012/450,ABS,Serbia,Ministry of Internal Affairs,NA,2012/ABS/04 PP Flexi Force - Hubble module,4550.57,2012,Hubble,Air Border Sector
2011/319/,ABS,Serbia,Ministry of Internal Affairs,NA,2011/ABS/05 Hubble 2011,22697.06,2011,Hubble,Air Border Sector
2011/1113/,LBS,Serbia,Ministry of Internal Affairs,NA,2011/LBS/01 JO Focal Points 2011 Land,111888.9,2011,Focal Points,Land Borders Sector
2010/140/,LBS,Serbia,Ministry of Internal Affairs,NA,2010/OPS/20 JO Neptune 2010 Phase I,20491.57,2010,Neptune,Land Borders Sector
2010/345/,LBS,Serbia,Ministry of Internal Affairs,NA,2010/OPS/20 JO Neptune 2010 Phase II,24689.03,2010,Neptune,Land Borders Sector
2010/512/,LBS,Serbia,Ministry of Internal Affairs,NA,2010/OPS/20 JO Neptune 2010 Phase III,20491.57,2010,Neptune,Land Borders Sector
2010/621/,LBS,Serbia,Ministry of Internal Affairs,NA,2010/OPS/21 JO Focal Points Land 2010,6866.4,2010,Focal Points,Land Borders Sector
2009/216/,LBS,Serbia,Ministry of Internal Affairs,NA,2009/OPS/05 - Neptune,34023.2,2009,Neptune,Land Borders Sector
