grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2021/34,FDU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA",2021/FDU/01 Human Resources and light technical equipment,65376,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/38,ECRET,Bulgaria,Bulgarian Ministry of Interior,"48 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202, Bulgaria",2021/ECRet/01,18104,2021,European Centre for Returns,European Centre for Returns
2021/138,CGS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA",2021/FDU/01 Human Resources and light technical equipment,32220,2021,Technical Equipment & Human Resources,Coast Guard Sector
2021/140,CGS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA",2021/CGS/01/Heavy Technical Equipment,579514,2021,Technical Equipment,Coast Guard Sector
2021/158,TF Deploy,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",68950.06,2021,Human Resources,Task Force Deployment Management
2021/194,FDU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA",2021/FDU/01 Human Resources and light technical equipment,64762,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/207,CGS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA",2021/CGS/01 Multipurpose Operational Activities Sea,14863,2021,Multipurpose Operational Activities Sea,Coast Guard Sector
2021/214,ECRET,Bulgaria,Bulgarian Ministry of Interior,"48 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202, Bulgaria",2021/ECRet/01,22875,2021,European Centre for Returns,European Centre for Returns
2021/267,DMD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",256100.2,2021,Human Resources,Deployment Management Division
2021/274,FDU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",247435,2021,Human Resources,Field Deployment Unit
2021/295,DMD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 3 of the standing corps",255115.2,2021,Human Resources,Deployment Management Division
2021/323,DMD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA",2021/FDU/01 Human Resources and light technical equipment,170846,2021,Technical Equipment & Human Resources,Deployment Management Division
2021/391,FOU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA",2021/FDU/01/Heavy Technical Equipment,849928,2021,Technical Equipment,Field Operations Unit
2021/422,ECRET,Bulgaria,Bulgarian Ministry of Interior,"48 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202, Bulgaria",2021/ECRet/01,14807,2021,European Centre for Returns,European Centre for Returns
2020/6,ECRET,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"48 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202, Bulgaria",2020/ECRET/01 Return Support,30063,2020,European Centre for Returns,European Centre for Returns
2020/34,FDU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA",2020/FDU/01/Human Resources/Light Technical Technical Equipment,148643,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/43,FDU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202, Bulgaria",2020/FDU/01/Human Resources/Light Technical Technical Equipment,132501,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/66,FSC,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA",2020/FSC/GA FSC FIMO Deployment,40173,2020,FIMO Deployment,Frontex Situation Centre
2020/130,CGS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202, Bulgaria",2020/CGS/01/Heavy Technical Equipment CGS MMO Black Sea,231733,2020,Technical Equipment,Coast Guard Sector
2020/132,FDU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA",2020/FDU/01/Heavy Technical Equipment Rapid Border Intervention,538019,2020,Technical Equipment,Field Deployment Unit
2020/244,FDU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA",2020/FDU/01/Human Resources/Heavy Technical Technical Equipment,455340,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/257,ECRET,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"48 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202, Bulgaria",2020/ECRet/01,12205,2020,European Centre for Returns,European Centre for Returns
2020/303,FDU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA",2020/FDU/01/Human Resources/Heavy Technical Technical Equipment,431793,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/336,RIU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202, Bulgaria",2020/RIU/04/ENTRY-EXIT-SYSTEM,76578,2020,Technical Equipment,Research and Innovation Unit
2019/59,FDU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202,Bulgaria",2019/FDU/01 Human Resources,207164,2019,Human Resources,Field Deployment Unit
2019/102,FDU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"48 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202,Bulgaria",2019/FDU/01 Human Resources,275442,2019,Human Resources,Field Deployment Unit
2019/105,ECRET,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"48 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202,Bulgaria",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,59552,2019,Flexible Operational Activities,European Centre for Returns
2019/126,FSC,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"48 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202,Bulgaria",2019/FSC/GA FSC FIMO Deployment,32739,2019,FIMO Deployment,Frontex Situation Centre
2019/175,CGS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202,Bulgaria",2019/CGS/01 Technical Equipment,293388,2019,Technical Equipment,Coast Guard Sector
2019/207,ECRET,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"48 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202,Bulgaria",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,30694,2019,Flexible Operational Activities,European Centre for Returns
2019/276,ECRET,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"48 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202,Bulgaria",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,34924,2019,Flexible Operational Activities,European Centre for Returns
2019/287,FDU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"48 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202,Bulgaria",2019/FDU/01 Technical Equipment,422447,2019,Technical Equipment,Field Deployment Unit
2019/354,FDU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"48 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202,Bulgaria",2019/FDU/01 Technical Equipment,437084,2019,Technical Equipment,Field Deployment Unit
2018/4,RSU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 â€œKnyaginya MariaLouisaâ€ Blvd, Sofia1202, Bulgaria","2017/RSU/01 RO to Albania. KOS, PAK, NIG, GHA",18375.11,2018,Return Operations,Return Support Unit
2018/20,ORD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 â€œKnyaginya MariaLouisaâ€ Blvd, Sofia1202, Bulgaria",2018/ORD/01 Human Resources,689073,2018,Human Resources,Operational Response Division
2018/53,ORD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 â€œKnyaginya MariaLouisaâ€ Blvd, Sofia1202, Bulgaria",2018/ORD/01 Human Resources,215316,2018,Human Resources,Operational Response Division
2018/104,RSU,Bulgaria,Bulgarian Ministry of Interior,"48 â€œKnyaginya MariaLouisaâ€ Blvd, Sofia1202, Bulgaria",2018/RSU/01 RO,31119,2018,Return Operations,Return Support Unit
2018/158,FSC,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 â€œKnyaginya MariaLouisaâ€ Blvd, Sofia1202, Bulgaria",2018/FSC/GA FSC FIMO Deployment,14405,2018,FIMO Deployment,Frontex Situation Centre
2018/240,ORD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 â€œKnyaginya MariaLouisaâ€ Blvd, Sofia1202, Bulgaria",2018/ORD/01 Technical Equipment,582851,2018,Technical Equipment,Operational Response Division
2018/249,ECRET,Bulgaria,Bulgarian Ministry of Interior,"48 â€œKnyaginya MariaLouisaâ€ Blvd, Sofia1202, Bulgaria",2018/ECRet/01-FOA- R 2018 including Return Operations,12905,2018,Flexible Operational Activities,European Centre for Returns
2018/336,ORD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 â€œKnyaginya MariaLouisaâ€ Blvd, Sofia1202, Bulgaria",2018/ORD/01 Technical Equipment,625414,2018,Technical Equipment,Operational Response Division
2018/359,PRU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 â€œKnyaginya MariaLouisaâ€ Blvd, Sofia1202, Bulgaria",2018/PRU/07 Rapid Border Intervention Exercise 2018,17978,2018,Rapid Border Intervention Exercise 2018,Pooled Resources Unit
2017/28,LBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/LBS/01 FOA,7394,2017,Flexible Operational Activities,Land Borders Sector
2017/88,LBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/LBS/02 Focal Points,12339,2017,Focal Points (Land),Land Borders Sector
2017/116,LBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/LBS/01 FOA,19945,2017,Flexible Operational Activities,Land Borders Sector
2017/141,RSU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/RSU/03 JO Poseidon,269461,2017,Poseidon,Return Support Unit
2017/172,ABS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/ABS/06 JO Alexis,18281,2017,Alexis,Air Border Sector
2017/188,LBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/LBS/02 Focal Points,7394,2017,Focal Points (Land),Land Borders Sector
2017/213,LBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/LBS/01 FOA,7800,2017,Flexible Operational Activities,Land Borders Sector
2017/246,LBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/LBS/01 FOA,19942,2017,Flexible Operational Activities,Land Borders Sector
2017/267,ABS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/ABS/03 Focal Points 2017 Air,7233,2017,Focal Points (Air),Air Border Sector
2017/320,RSU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/RSU/03 JO Poseidon,308537,2017,Poseidon,Return Support Unit
2017/355,LBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/LBS/02 Focal Points,7327,2017,Focal Points (Land),Land Borders Sector
2017/369,ABS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/ABS/04 JO Focal Points 2017 Air Intermediate Managers,4053,2017,Focal Points (Air),Air Border Sector
2017/377,LBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/LBS/01 FOA,39884,2017,Flexible Operational Activities,Land Borders Sector
2017/382,RSU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/RSU/03 JO Poseidon,8387,2017,Poseidon,Return Support Unit
2017/458,LBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/LBS/03 Coordination Points,5966,2017,Coordination Points,Land Borders Sector
2017/507,RSU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/RSU/03 JO Poseidon,317808,2017,Poseidon,Return Support Unit
2017/560,ABS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/ABS/06 JO Alexis,19423,2017,Alexis,Air Border Sector
2017/623,FSC,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/FSC/02 FSC Support Officer Deployment,15620,2017,Frontex Situation Centre,Frontex Situation Centre
2017/665,LBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/LBS/03 Coordination Points,5859,2017,Coordination Points,Land Borders Sector
2017/712,RSU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/RSU/03 JO Poseidon,344678,2017,Poseidon,Return Support Unit
2017/729,ABS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/ABS/11 Vega Children,12647,2017,VEGA Children,Air Border Sector
2017/746,LBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/LBS/01 FOA,36080,2017,Flexible Operational Activities,Land Borders Sector
2017/780,LBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/LBS/03 Coordination Points,13653,2017,Coordination Points,Land Borders Sector
2017/833,LBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/LBS/03 Coordination Points,6345,2017,Coordination Points,Land Borders Sector
2017/872,RSU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/RSU/03 Poseidon,20600,2017,Poseidon,Return Support Unit
2017/908,RSU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/RSU/01 RO to Sri Lanka,74408,2017,Return Operations,Return Support Unit
2017/910,RSU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/RSU/03 Poseidon,265644,2017,Poseidon,Return Support Unit
2017/961,RSU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/RSU/03 Poseidon,1380,2017,Poseidon,Return Support Unit
2017/1023,LBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/LBS/01 FOA,39890,2017,Flexible Operational Activities,Land Borders Sector
2017/1057,RSU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/RSU/01 RO to Pakistan,17420,2017,Return Operations,Return Support Unit
2017/1069,RSU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/RSU/03 Poseidon,319383,2017,Poseidon,Return Support Unit
2017/1148,SBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/SBS/07 JO Poseidon 2017,568487,2017,Poseidon,Sea Border Sector
2017/1203,ABS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/ABS/03 Focal Points 2017 Air,8128,2017,Focal Points (Air),Air Border Sector
2017/1212,RSU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/RSU/03 Poseidon,49434,2017,Poseidon,Return Support Unit
2017/1226,RSU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/RSU/03 Poseidon,14312,2017,Poseidon,Return Support Unit
2017/1258,LBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/LBS/02 Focal Points,7006,2017,Focal Points (Land),Land Borders Sector
2017/1344,LBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/LBS/01 FOA,39890,2017,Flexible Operational Activities,Land Borders Sector
2017/1374,LBS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/LBS/02 Focal Points,12436,2017,Focal Points (Land),Land Borders Sector
2017/1384,RSU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/RSU/03 JO Poseidon/Readmission,53106,2017,Poseidon,Return Support Unit
