grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2013/136,ABS,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",2013/ABS/06 JO Flexi Force 2013 Mizar Operational Module,4904.88,2013,Other joint operations,Air Border Sector
2013/339,LBS,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",2013/LBS/04 JO Focal Points 2013 Land,5403.5,2013,Focal Points (Land),Land Borders Sector
2013/556,SBS,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",2013/SBS/P1/04 EPN-Minerva,3270,2013,Minerva,Sea Border Sector
2013/613,SBS,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",2013/SBS/P1/05 EPN-Hermes 2013,1140,2013,Hermes,Sea Border Sector
2013/692,LBS,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",2013/LBS/01 JO Jupiter 2013,4596,2013,Jupiter,Land Borders Sector
2013/816,ABS,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",2013/ABS/03 JO Focal Points 2013 Air,4181.8,2013,Focal Points (Air),Air Border Sector
2012/774,ABS,Moldova,Border Police,NA,2012/ABS/03 JO Focal Points 2012,3890.2,2012,Focal Points (Air),Air Border Sector
2012/815,LBS,Moldova,Border Police,NA,2012/LBS/04 JO Focal Points 2012,12473.78,2012,Focal Points (Land),Land Borders Sector
2011/202/,LBS,Moldova,Border Police,NA,2011/LBS/07 JO Jupiter 2011-Phase I,10953.66,2011,Jupiter,Land Borders Sector
2011/322/,LBS,Moldova,Border Police,NA,2011/LBS/01 JO Focal Points 2011 Land,6168,2011,Focal Points (Land),Land Borders Sector
2011/624/,LBS,Moldova,Border Police,NA,2011/LBS/07 JO Jupiter 2011-Phase I,9071.48,2011,Jupiter,Land Borders Sector
2010/42/,LBS,Moldova,Border Police,NA,2010/OPS/19 JO Jupiter 2010 I phase,3663,2010,Jupiter,Land Borders Sector
2010/228/,LBS,Moldova,Border Police,NA,2010/OPS/19 JO Jupiter 2010 II phase,4609,2010,Jupiter,Land Borders Sector
2010/473/,LBS,Moldova,Border Police,NA,2010/OPS/19 JO Jupiter 2010 III phase,5000,2010,Jupiter,Land Borders Sector
2010/665/,LBS,Moldova,Border Police,NA,2010/OPS/19 JO Jupiter 2010 IV phase,3596,2010,Jupiter,Land Borders Sector
2009/298/,LBS,Moldova,Border Police,NA,2009/OPS/04 - Focal Points 2009,12772.8,2009,Focal Points (Land),Land Borders Sector
2008/151/,LBS,Moldova,Border Police,NA,2008/OPS/03 Atlas I,1339.02,2008,Atlas I,Land Borders Sector
2008/171/,LBS,Moldova,Border Police,NA,2008/OPS/03 Atlas II,5789.78,2008,Atlas II,Land Borders Sector
2008/314/,LBS,Moldova,Border Police,NA,2008/OPS/03 Atlas III,8104,2008,Atlas III,Land Borders Sector
