grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2023/61,DMD,Hungary,Hungarian National Police,"4-6. Teve utca, Budapest 1139, Hungary","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",25297.54,2023,Human Resources,Deployment Management Division
2023/62,DMD,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",34202.56,2023,Human Resources,Deployment Management Division
2023/63,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",293011.72,2023,Human Resources,Deployment Management Division
2023/65,DMD,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","Ministères économiques et financiers - 139, rue de Bercy, Paris XIIe, 75012","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",42453.34,2023,Human Resources,Deployment Management Division
2023/66,DMD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",23625.58,2023,Human Resources,Deployment Management Division
2023/68,DMD,Spain,General Directorate for International Relations and Immigration,"Calle Amador de los Ríos nº 8, postal code 28071 Madrid – Spain.","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",212412.12,2023,Human Resources,Deployment Management Division
2023/83,DMD,Portugal,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  Urbanização Cabanas Golfe, nº 1, 2734-506 Barcarena","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",173557.1,2023,Human Resources,Deployment Management Division
2023/101,DMD,Austria,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",1331499.68,2023,Human Resources,Deployment Management Division
2023/102,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",487413.75,2023,Human Resources,Deployment Management Division
2023/118,DMD,Belgium,Federal Police,Koningsstraat 202A - 1000 Brussels,"Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",336210.12,2023,Human Resources,Deployment Management Division
2023/119,DMD,Slovakia,Bureau of Border and Alien Police,"Ružinovská 1/B  812 72 Bratislava, Slovak Republic","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",448275.62,2023,Human Resources,Deployment Management Division
2023/121,DMD,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",680690.95,2023,Human Resources,Deployment Management Division
2023/125,DMD,Croatia,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",516418.70999999996,2023,Human Resources,Deployment Management Division
2023/126,DMD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",3176183.56,2023,Human Resources,Deployment Management Division
2023/135,DMD,Spain,General Directorate for International Relations and Immigration,"Calle Amador de los Ríos nº 8, postal code 28071 Madrid – Spain.","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",753177.98,2023,Human Resources,Deployment Management Division
2023/147,DMD,Portugal,Sistema de Segurança Interna - Homeland Security System,"Av. Defensores de Chaves, 6, 1049-063 Lisboa","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",2029229.6099999999,2023,Human Resources,Deployment Management Division
2023/149,DMD,Hungary,Hungarian National Police,"4-6. Teve utca, Budapest 1139, Hungary","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",1432093.74,2023,Human Resources,Deployment Management Division
2023/158,DMD,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",5721226.48,2023,Human Resources,Deployment Management Division
